month,close,open,high,low,volume
2022-06,1032.8545454545454,1044.790909090909,1184.5,849.9,96440.0
2022-07,855.1450000000001,851.96,918.6,779.0,140200.0
2022-08,840.8090909090909,839.4863636363636,879.5,794.8,271030.0
2022-09,806.4947368421052,802.6999999999999,856.4,766.9,324170.0
2022-10,881.21,876.525,960.0,840.8,229010.0
2022-11,871.9428571428571,873.0809523809525,926.4,803.5,159810.0
2022-12,861.425,859.325,887.4,811.8,137640.0
2023-01,834.2476190476191,834.2190476190475,864.2,791.0,178270.0
2023-02,831.6894736842105,829.8947368421053,849.3,819.1,154060.0
2023-03,781.9478260869565,781.9260869565217,852.6,715.0,222720.0
2023-04,766.4052631578948,766.8684210526316,789.0,734.5,185310.0
2023-05,729.2045454545455,731.5227272727273,787.1,641.9,179540.0
2023-06,708.4772727272727,703.3181818181819,763.0,641.9,263010.0
2023-07,803.095,803.925,854.8,746.8,212880.0
2023-08,792.7227272727273,790.4409090909091,821.0,757.5,392790.0
2023-09,749.92,754.525,817.0,705.7,442130.0
2023-10,697.1,698.735,725.8,662.0,299840.0
2023-11,693.3666666666667,694.4904761904761,725.0,654.3,225890.0
2023-12,656.9,659.0421052631579,699.7,639.5,281080.0
2024-01,623.0136363636364,622.7818181818183,640.2,599.0,265590.0
2024-02,584.4449999999999,585.955,610.5,565.6,346460.0
2024-03,616.5899999999999,616.075,652.1,574.4,240380.0
2024-04,625.7681818181818,626.540909090909,645.4,603.4,336000.0
2024-05,653.552380952381,653.0952380952381,675.5,611.7,230060.0
2024-06,613.3050000000001,615.845,661.7,579.2,309490.0
2024-07,630.4318181818181,630.0318181818183,681.0,581.0,496420.0
2024-08,588.1952380952381,587.8857142857144,624.0,561.4,546880.0
2024-09,581.8157894736842,580.8526315789474,619.1,538.8,549550.0
2024-10,621.4318181818181,618.7863636363636,644.6,594.8,376000.0
2024-11,615.575,618.455,652.7,563.6,328750.0
2024-12,605.34,603.26,626.5,570.0,385420.0
